"EU-PVP-Official-TheCenter708 - (v321.1)","46.251.238.154","27021","7783"
"EU-PVP-Official-Ragnarok-ClassicPVP3 - (v321.1)","85.190.154.30","27019","7781"
"PVP-Official-TheIsland-ARKpocalypse1 - (v321.1)","46.251.238.103","27015","7777"
"PVP-Official-Ragnarok-ARKpocalypse4 - (v321.1)","46.251.238.109","27017","7779"
"PVP-Official-CrystalIsles-ARKpocalypse9 - (v321.1)","46.251.238.109","27023","7785"
"*Beginner*EU-PVE-Official-TheIsland427 - (v321.1)","85.190.154.179","27019","7781"
"NA-PVP-Official-Ragnarok-ClassicPVP16 - (v321.1)","85.190.157.171","27019","7781"
"EU-PVP-Official-TheIsland-ClassicPVP7 - (v321.1)","85.190.154.33","27015","7777"
"EU-PVP-Official-TheIsland-ClassicPVP5 - (v321.1)","85.190.154.31","27017","7779"
"EU-PVP-Official-Ragnarok-ClassicPVP6 - (v321.1)","85.190.154.31","27019","7781"
"EU-OfflineRaidProtection-Ragnarok-CrossArk5 - (v321.1)","85.190.148.216","27017","7779"
"PVP-Official-Valguero-ARKpocalypse7 - (v321.1)","46.251.238.109","27021","7783"
"OC-PVP-Official-TheIsland93 - (v321.1)","128.0.115.22","27019","7781"
"NA-PVP-Official-TheIsland-ClassicPVP15 - (v321.1)","85.190.157.171","27017","7779"
"EU-PVP-Official-Ragnarok-ClassicPVP10 - (v321.1)","5.101.166.5","27015","7777"
"PVP-Official-GenOne-ARKpocalypse8 - (v321.1)","46.251.238.103","27021","7783"
"PVP-Official-TheCenter-ARKpocalypse2 - (v321.1)","46.251.238.103","27017","7779"
"EU-PVP-Official-TheIsland-ClassicPVP2 - (v321.1)","85.190.154.30","27017","7779"
"NA-PVP-Official-Ragnarok-ClassicPVP19 - (v321.1)","85.190.156.28","27019","7781"
"NA-PVP-Official-GenOne-SmallTribes94 - (v321.1)","85.190.157.170","27021","7783"
"OC-PVE-Official-TheIsland764 - (v321.1)","128.0.115.35","27019","7781"
"NA-PVP-Official-TheCenter-ClassicPVP20 - (v321.1)","85.190.152.9","27015","7777"
"EU-PVE-Official-Ragnarok752 - (v321.1)","46.251.238.158","27019","7781"
"EU-PVP-Official-GenOne-SmallTribes99 - (v321.1)","5.101.166.54","27021","7783"
"NA-PVE-Official-Ragnarok737 - (v321.1)","95.156.213.138","27019","7781"
"EU-PVP-Official-TheIsland-SmallTribes140 - (v321.1)","46.251.238.176","27017","7779"
"EU-PVP-Official-Ragnarok-SmallTribes122 - (v321.1)","46.251.238.163","27019","7781"
"EU-PVE-Official-TheIsland895 - (v321.1)","46.251.238.177","27017","7779"
"NA-PVE-Official-CrystalIsles852 - (v321.1)","95.156.213.161","27017","7779"
"NA-PVP-Official-Valguero-ClassicPVP25 - (v321.1)","37.10.127.67","27019","7781"
"EU-PVP-Official-GenOne-SmallTribes98 - (v321.1)","85.190.148.211","27021","7783"
"NA-PVE-Official-Ragnarok738 - (v321.1)","95.156.213.139","27015","7777"
"EU-OfflineRaidProtection-CrystalIsles-CrossArk5 - (v321.1)","46.251.238.164","27015","7777"
"NA-PVP-Official-TheCenter-ClassicPVP14 - (v321.1)","85.190.157.171","27015","7777"
"NA-PVP-Official-GenOne609 - (v321.1)","85.190.157.158","27021","7783"
"*Beginner*EU-PVP-Official-TheIsland425 - (v321.1)","85.190.154.179","27015","7777"
"NA-PVP-Official-TheIsland-SmallTribes1 - (v321.1)","85.190.156.5","27015","7777"
"NA-PVE-Official-TheIsland892 - (v321.1)","95.156.213.160","27019","7781"
"NA-OfflineRaidProtection-Ragnarok-CrossArk6 - (v321.1)","85.190.158.47","27017","7779"
"EU-PVE-Official-TheIsland896 - (v321.1)","46.251.238.177","27019","7781"
"NA-PVP-Official-TheIsland-ClassicPVP21 - (v321.1)","85.190.152.9","27017","7779"
"NA-PVP-Official-TheIsland774 - (v321.1)","95.156.213.139","27021","7783"
"EU-PVP-Official-TheIsland171 - (v321.1)","85.190.148.229","27019","7781"
"NA-PVP-Official-TheCenter360 - (v321.1)","85.190.159.138","27017","7779"
"EU-PVE-Official-Extinction745 - (v321.1)","46.251.238.156","27017","7779"
"EU-PVP-Official-GenOne-SmallTribes118 - (v321.1)","46.251.238.162","27019","7781"
"NA-PVE-Official-TheIsland890 - (v321.1)","95.156.213.160","27015","7777"
"OC-PVE-Official-Ragnarok765 - (v321.1)","128.0.115.38","27015","7777"
"NA-PVP-Official-GenOne-SmallTribes95 - (v321.1)","85.190.158.48","27021","7783"
